Α.Φ.Μ.,Στοιχεία Οφειλέτη,Διεύθυνση Έδρας,"Τ.Κ., Περιοχή","Βασική οφειλή Δ.Ο.Υ.,Ελεγκτικά Κέντρα",Βασική οφειλή Τελωνείων,Συνεισπραττόμενα Δημοσίου,Σύνολο Δημοσίου,Βασική οφειλή e-Ε.Φ.Κ.Α.,Συνεισπραττόμενα e-Ε.Φ.Κ.Α.,Σύνολο e-Ε.Φ.Κ.Α.,Παρατηρήσεις
800590789,ΑΠΟΛΛΩΝΕΙΟ ΦΩΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,ΜΠΑΙΡΑΚΤΑΡΗ 24,11526 ΑΘΗΝΑ,"897.238,48",-,"402.511,31","1.299.749,79",-,-,-,.
998410300,ΟΛΟΚΛΗΡΩΜΕΝΕΣ ΠΡΟΤΑΣΕΙΣ ΕΞΟΠΛΙ,ΜΑΥΡΟΜΙΧΑΛΗ 133,11472 ΑΘΗΝΑ,-,-,-,-,"559.731,49","739.982,70","1.299.714,19",.
094207011,ΒΥΖΑΝΤΙΝΟ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΖΑ,Λ ΑΘΗΝΩΝ 79,19015 ΣΚΑΛΑ ΩΡΩΠΟΥ,-,-,-,-,"577.964,85","721.589,97","1.299.554,82",.
998721764,PROFILE ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΑΝΤ ΜΙΓΚΑ 22,58200 ΕΔΕΣΣΑ,"849.482,29",-,"450.031,04","1.299.513,33",-,-,-,.
093043978,ΓΕΩΡΓΙΟΣ Π ΒΥΘΟΥΛΚΑΣ ΚΑΙ ΣΙΑ ΕΕ,ΓΟΡΤΥΝΙΑΣ 8,14561 ΚΗΦΙΣΙΑ,"183.555,95",-,"260.245,71","443.801,66","368.473,56","486.732,42","855.205,98",.
998985120,INFOCREDIT ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΕ,ΛΗΜΝΟΥ 8,17237 ΔΑΦΝΗ,"787.321,31",-,"511.526,14","1.298.847,45",-,-,-,.
094124819,ΕΞΠΕΡΤ ΕΛΛΑΣ ΑΒΕΕ,ΒΑΣ ΟΛΓΑΣ 38,54641 ΘΕΣΣΑΛΟΝΙΚΗ,"383.275,28",-,"915.464,28","1.298.739,56",-,-,-,.
092852815,ΜΩΥΣΙΔΗΣ ΠΑΝ-ΣΙΑ,ΑΡΤΕΜΙΔΟΣ 4,52100 ΚΑΣΤΟΡΙΑ,"443.797,06",-,"854.939,81","1.298.736,87",-,-,-,.
082422776,INASCO HELLAS ΕΤΑΙΡΕΙΑ ΕΦΑΡΜΟΣΜΕΝΩΝ ΑΕΡΟΔΙΑΣΤΗΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΕΕ,Ν ΖΕΡΒΑ 18,16675 ΓΛΥΦΑΔΑ,"259.112,92",-,"105.097,09","364.210,01","539.467,86","394.757,76","934.225,62",.
094133380,ΓΑΙΩΜΑΡ ΕΛΛΗΝΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ,ΣΚΟΥΖΕ 6,18536 ΠΕΙΡΑΙΑΣ,-,-,-,-,"446.526,87","851.768,25","1.298.295,12",.
094079463,ΣΥΝΚΑΜ ΑΕ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΚΑΤΑΣΚΕΥΗΣ ΣΥΝΑΡΜΟΛΟΓΗΣΕΩΣ ΣΥΝΤΗΡΗΣΕΩΣ  ΚΑΙ ΕΠΙΣΚΕΥΗΣ ΑΥΤΟΚΙΝΗΤΩΝ,ΘΕΣΣΑΛΟΝΙΚΗΣ 25,18233 ΑΓ Ι ΡΕΝΤΗΣ,"199.323,19",-,"400.537,50","599.860,69","243.663,90","454.671,73","698.335,63",.
