A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
93389770,Μ ΣΑΡΑΝΤΟΓΛΟΥ  ΕΕ,ΑΕΤΟΡΑΧΗΣ 27,54640 ΘΕΣΣΑΛΟΝΙΚΗ,"469.473,51",-,"897.446,08","1.366.919,59",-,-,-,.,"(40.6190611, 22.9578967)"
91345684,ΜΑΤΖΟΥΡΑΝΗ ΑΦΟΙ ΟΕ,ΦΙΛΑΔΕΛΦΕΙΑΣ 108,13671 ΑΧΑΡΝΕΣ,-,-,-,-,"509.649,04","857.241,51","1.366.890,55",.,"(38.0722312, 23.7387164)"
95232263,ΔΡΙΤΣΑΣ Α ΣΤΑΥΡΟΠΟΥΛΟΣ Ε ΕΠΕ,11 ΧΙΛ ΕΘΝ ΟΔΟΥ ΑΘΗΝΩΝ ΛΑΜΙΑΣ 0,14452 ΜΕΤΑΜΟΡΦΩΣΗ,"446.608,59",-,"364.966,06","811.574,65","277.547,12","277.763,40","555.310,52",.,"(38.0709763, 23.7778531)"
94474936,ΑΝ ΕΙΣ ΕΞ ΕΜΠΟΡ ΑΝΤΙΠΡΟΣ ΒΙΟΤ ΕΤ MAGLIERIA ΑΕ,Λ ΚΑΡΕΑ 79,16344 ΗΛΙΟΥΠΟΛΗ,"455.893,42",-,"910.601,92","1.366.495,34",-,-,-,.,"(37.9438497, 23.7613203)"
82653554,Γ ΡΑΔΑΙΟΣ-ΣΙΑ,ΔΗΜΟΣΘΕΝΟΥΣ ΑΙΓΑΙ 0,19004 ΣΠΑΤΑ,"575.626,60",-,"790.775,04","1.366.401,64",-,-,-,.,"(37.9617806, 23.918405)"
998837632,ΕΝΤΕΑΒΟΡ ΛΑΙΝΣ ΝΑΥΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΛΕΩΦ ΠΟΣΕΙΔΩΝΟΣ 35,18344 ΜΟΣΧΑΤΟ,"620.089,19",-,"746.200,33","1.366.289,52",-,-,-,.,"(37.9445692, 23.678104)"
99600645,ΟΚΛΑΛΙΩΤΗΣ ΑΝ ΚΑΙ ΣΙΑ ΟΕ,ΦΙΛΩΤΑΣ 0,53070 ΦΙΛΩΤΑΣ,"826.371,32",-,"539.490,00","1.365.861,32",-,-,-,.,"(40.6240689, 21.7064841)"
999325507,EXPRESS HOLIDAYS ΤΟΥΡΙΣΤΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ 52-54,15124 ΜΑΡΟΥΣΙ,"202.468,92",-,"131.726,29","334.195,21","545.728,25","485.731,57","1.031.459,82",.,"(38.0462744, 23.8063074)"
94355867,ΜΙΧΑΛΗΣ ΤΑΛΦΑΝΙΔΗΣ ΕΜΠΟΡΙΑ ΕΠΕΞΕΡΓΑΣΙΑ ΧΑΡΤΟΥ ΕΚΤΥΠΩΤΙΚΕΣ ΕΡΓΑΣΙΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΚΡΗΤΗΣ 8  ΠΡΟΕΚΤ ΘΕΟΔΩΡΑ Δ 0,14452 ΜΕΤΑΜΟΡΦΩΣΗ,"743.813,29",-,"621.657,82","1.365.471,11",-,-,-,.,"(38.0723743, 23.7805686)"
999437580,ΚΟΥΚΟΥΛΙΔΗΣ Κ ΚΑΙ ΣΙΑ ΕΕ,ΠΟΛΥΤΕΧΝΕΙΟΥ 52-54,14122 ΗΡΑΚΛΕΙΟ,"434.047,16",-,"185.675,17","619.722,33","442.881,53","302.531,08","745.412,61",.,"(38.0468507, 23.7689849)"
998355784,ΛΑΚΟΣΕΛ ΓΚΡΟΥΠ ΕΜΠΟΡΙΑ ΕΙΣΑΓΩΓΕΣ ΕΞΑΓΩΓΕΣ ΚΟΜΜΩΤΙΚΩΝ ΚΑΛΛΥΝΤΙΚΩΝ ΕΙΔΩΝ ΜΟΝΟΠΡΟΣΩΠΗ  ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙ,ΘΡΑΚΗΣ 17,17342 ΑΓ ΔΗΜΗΤΡΙΟΣ,"450.419,21",-,"456.618,94","907.038,15","225.801,04","232.154,23","457.955,27",.,"(37.9280144, 23.7270078)"
